Rank,Country,A. Talent (/100),B. Output (/100),C. Innovation (/100),D. Sustain (/100),E. Earnings (/100),F. Tournaments (/100),G. Investments (/100),Overall (/100),Standouts,Notes,Earnings ($M),Key Tournaments,Investments ($B),Core Mythology,Heroes,Biggest IP,Most Popular Games
1,United States,98,99,97,95,91,60,24,87.4,"Epic (Fortnite), Blizzard; indie explosion (Hades II)",AAA/live ops dominance; esports earnings YTD $7.6M lead global.,296.9,"LCS, DreamHack (15 total)",1.2,Greco-Roman,"Hercules, Achilles",Assassin's Creed,Call of Duty
2,China,90,95,92,85,100,80,100,86.5,"Tencent (PUBG Mobile), miHoYo (Genshin); AI dev tools",Tencent $3.2B H1 iAP + $3B M&A; Worlds co-host peaks 6.4M viewers.,326.7,"KPL, Worlds 2025 (20 total)",5.0,Chinese,"Sun Wukong, Nezha",Genshin Impact,Honor of Kings
17,Denmark,72,62,84,86,20,24,2,50.9,"IO Interactive (Hitman), Playdead (Inside)","Narrative indies; CS majors 6, Astralis funding.",63.7,CS majors (6 total),0.1,Nordic,"Beowulf (shared), Holger Danske",Hitman,Inside
18,Italy,68,64,76,78,3,12,2,50.2,"Milestone (MotoGP), 505 Games (Control ports)",Mobile growth; Milan Games Week 3 events.,8.4,Milan Games Week (3 total),0.1,Roman,"Aeneas, Romulus",Control,MotoGP
19,Spain,70,62,78,80,5,16,4,50.0,"MercurySteam (Metroid Dread), Nomada (Gris)","Console mix; Madrid Majors 4, Karmine $0.2B.",16.2,Madrid Majors (4 total),0.2,Iberian/Celtic,"El Cid, Durandal",Metroid Dread,Gris
20,Russia,75,60,82,70,29,28,6,49.3,"Owlcat (Pathfinder), Mundfish (Atomic Heart)","PC sims resilient; YTD earnings $6.8M lead, geopolitics dock sustain.",95.9,"WePlay, EPIC (7 total)",0.3,Slavic,"Ilya Muromets, Baba Yaga",Atomic Heart,Pathfinder
21,Israel,68,58,80,76,3,8,10,48.6,"Moon Active (Coin Master), Playtika (casual)","AI crossover; BLAST Israel 2, Playtika IPOs.",10.5,BLAST Israel (2 total),0.5,Judeo-Biblical,"Samson, David",Coin Master,Solitaire Grand Harvest
22,Czech Republic,72,56,78,78,2,12,2,48.5,"Amanita (Machinarium), Warhorse (Kingdom Come 2)",EE indies riser; MSL Prague 3 events.,6.9,MSL Prague (3 total),0.1,Slavic,"Forefather Čech, Krakonoš",Kingdom Come: Deliverance,Machinarium
23,Mexico,66,60,74,74,3,16,4,48.0,"Squad (mobile), HyperBeard (indies)",LatAm outsourcing; Free Fire LatAm 4 events.,10.7,Free Fire LatAm (4 total),0.2,Mesoamerican,"Quetzalcoatl, Huitzilopochtli",HyperBeard indies,Free Fire
24,Norway,70,54,76,80,4,8,2,46.6,"Funcom (Dune), Avalanche Oslo",Exploration focus; Nordic Champs 2.,13.9,Nordic Champs (2 total),0.1,Nordic,"Odin, Freyja",Dune,Just Cause
25,Vietnam,64,58,72,72,6,20,6,45.3,"VNG (Free Fire), Axie devs (blockchain)","Cost-efficiency; VCS/AoV 5 events, VNG Garena.",19.4,"VCS, AoV (5 total)",0.3,Vietnamese,"Lạc Long Quân, Âu Cơ",Free Fire,Arena of Valor
26,Ukraine,68,52,74,68,12,16,4,45.3,"GSC Game World (Stalker 2), Frogwares",Resilient outsourcing; WePlay proxies 4.,40.3,WePlay proxies (4 total),0.2,Slavic,"Taras Bulba, Marichka",S.T.A.L.K.E.R.,Sherlock Holmes
27,Ireland,66,50,72,76,0,4,2,44.9,"Demonware (Call of Duty), Keywords (outsourcing)",EU tax haven; Insomnia Dublin 1.,1.5,Insomnia Dublin (1 total),0.1,Celtic,"Cú Chulainn, Banshee",Call of Duty (support),Dark Souls (support)
28,Philippines,62,56,70,70,8,24,4,43.5,"Anino Games (local mobile), Razer SEA ties","96% penetration; MPL PH 6 events, Blacklist.",26.7,MPL PH (6 total),0.2,Philippine,"Maria Makiling, Bernardo Carpio",MPL PH titles,Dota 2
29,Turkey,64,54,68,68,4,16,6,43.4,"Peak Games (mobile), Taleworlds (Mount & Blade)","MENA boom +7.5%; TESF 4, Peak $0.1B round.",14.5,TESF Turkey (4 total),0.3,Turko-Persian,"Köroğlu, Erzurumlu Emrah",Mount & Blade,Coin Master
30,United Arab Emirates,60,52,66,66,1,12,12,41.9,"The NineHertz (outsourcing), AR/VR focus","MENA hub; Dubai Expo proxies 3, PIF spillover.",2.0,Dubai Expo proxies (3 total),0.6,Arab/Islamic,"Antarah ibn Shaddad, Layla and Majnun",AR/VR Experiences,FIFA Mobile
31,Saudi Arabia,55,70,75,60,5,100,98,48.7,"Savvy Games (EWC), Falcons Esports","EWC 25 events/3M visitors, PIF $55B EA; Vision 2030 sportswash risk.",15.3,EWC 2025 (25 total),55.5,Arab/Islamic,"Hatim al-Tai, Antar",EWC (Esports World Cup),FIFA
